C001,Le Duy An,0901000001,leduyan@gmail.com,001090000001
C002,Ngo Viet Anh,0901000002,ngovietanh@gmail.com,001090000002
C003,Pham Vu Tran Anh,0901000003,phamvutrananh@gmail.com,001090000003
C004,Bui Chi Bach,0901000004,buichibach@gmail.com,001090000004
C005,Dao Van Huy Binh,0901000005,daovanhuybinh@gmail.com,001090000005
C006,Nguyen Manh Chien,0901000006,nguyenmanhchien@gmail.com,001090000006
C007,Nguyen Chi Cong,0901000007,nguyenchicong@gmail.com,001090000007
C008,Nguyen Viet Cong,0901000008,nguyenvietcong@gmail.com,001090000008
C009,Nguyen Tan Dat,0901000009,nguyentandat@gmail.com,001090000009
C010,Le Vu Dinh,0901000010,levudinh@gmail.com,001090000010
C011,Nguyen Duc Dung,0901000011,nguyenducdung@gmail.com,001090000011
C012,Pham Dang Quoc Dung,0901000012,phamdangquocdung@gmail.com,001090000012
C013,Nguyen Bach Duong,0901000013,nguyenbachduong@gmail.com,001090000013
C014,Nguyen Huy Duong,0901000014,nguyenhuyduong@gmail.com,001090000014
C015,Le Quoc Duy,0901000015,lequocduy@gmail.com,001090000015
C016,Dang Viet Hoang,0901000016,dangviethoang@gmail.com,001090000016
C017,Vu Duc Hung,0901000017,vuduchung@gmail.com,001090000017
C018,Nguyen Duc Huy,0901000018,nguyenduchuy@gmail.com,001090000018
C019,Nguyen Xuan Kien,0901000019,nguyenxuankien@gmail.com,001090000019
C020,Vu Nam Lam,0901000020,vunamlam@gmail.com,001090000020
C021,Nguyen Duy Long,0901000021,nguyenduylong@gmail.com,001090000021
C022,Ta Anh My,0901000022,taanhmy@gmail.com,001090000022
C023,Nguyen The Phuong Nam,0901000023,nguyenthephuongnam@gmail.com,001090000023
C024,Nguyen Xong Phi,0901000024,nguyenxongphi@gmail.com,001090000024
C025,Doan Duc Phuc,0901000025,doanducphuc@gmail.com,001090000025
C026,Nguyen Ngoc Quyet,0901000026,nguyenngocquyet@gmail.com,001090000026
C027,Ngo Ngoc Sang,0901000027,ngongocsang@gmail.com,001090000027
C028,Duong Anh Tai,0901000028,duonganhtai@gmail.com,001090000028
C029,Nguyen Ba Anh Thai,0901000029,nguyenbaanhthai@gmail.com,001090000029
C030,Nguyen Van Thanh,0901000030,nguyenvanthanh@gmail.com,001090000030
C031,Dinh Duc Tho,0901000031,dinhductho@gmail.com,001090000031
C032,Nguyen Anh Thu,0901000032,nguyenanhthu@gmail.com,001090000032
C033,Pham Anh Tuan,0901000033,phamanhtuan@gmail.com,001090000033
C034,Ly Minh Tuyet,0901000034,lyminhtuyet@gmail.com,001090000034
C035,Do Duy Van,0901000035,doduyvan@gmail.com,001090000035
C036,Nguyen Thi Thao Van,0901000036,nguyenthithaovan@gmail.com,001090000036
C037,Nguyen Tuan Vu,0901000037,nguyentuanvu@gmail.com,001090000037
