C002,Ngo Viet Anh,0901000002,ngovietanh@gmail.com
C003,Pham Vu Tran Anh,0901000003,phamvutrananh@gmail.com
C004,Bui Chi Bach,0901000004,buichibach@gmail.com
C005,Dao Van Huy Binh,0901000005,daovanhuybinh@gmail.com
C006,Nguyen Manh Chien,0901000006,nguyenmanhchien@gmail.com
C007,Nguyen Chi Cong,0901000007,nguyenchicong@gmail.com
C008,Nguyen Viet Cong,0901000008,nguyenvietcong@gmail.com
C009,Nguyen Tan Dat,0901000009,nguyentandat@gmail.com
C010,Le Vu Dinh,0901000010,levudinh@gmail.com
C011,Nguyen Duc Dung,0901000011,nguyenducdung@gmail.com
C012,Pham Dang Quoc Dung,0901000012,phamdangquocdung@gmail.com
C013,Nguyen Bach Duong,0901000013,nguyenbachduong@gmail.com
C014,Nguyen Huy Duong,0901000014,nguyenhuyduong@gmail.com
C015,Le Quoc Duy,0901000015,lequocduy@gmail.com
C016,Dang Viet Hoang,0901000016,dangviethoang@gmail.com
C017,Vu Duc Hung,0901000017,vuduchung@gmail.com
C018,Nguyen Duc Huy,0901000018,nguyenduchuy@gmail.com
C019,Nguyen Xuan Kien,0901000019,nguyenxuankien@gmail.com
C020,Vu Nam Lam,0901000020,vunamlam@gmail.com
C021,Nguyen Duy Long,0901000021,nguyenduylong@gmail.com
C022,Ta Anh My,0901000022,taanhmy@gmail.com
C023,Nguyen The Phuong Nam,0901000023,nguyenthephuongnam@gmail.com
C024,Nguyen Xong Phi,0901000024,nguyenxongphi@gmail.com
C025,Doan Duc Phuc,0901000025,doanducphuc@gmail.com
C026,Nguyen Ngoc Quyet,0901000026,nguyenngocquyet@gmail.com
C027,Ngo Ngoc Sang,0901000027,ngongocsang@gmail.com
C028,Duong Anh Tai,0901000028,duonganhtai@gmail.com
C029,Nguyen Ba Anh Thai,0901000029,nguyenbaanhthai@gmail.com
C030,Nguyen Van Thanh,0901000030,nguyenvanthanh@gmail.com
C031,Dinh Duc Tho,0901000031,dinhductho@gmail.com
C032,Nguyen Anh Thu,0901000032,nguyenanhthu@gmail.com
C033,Pham Anh Tuan,0901000033,phamanhtuan@gmail.com
C034,Ly Minh Tuyet,0901000034,lyminhtuyet@gmail.com
C035,Do Duy Van,0901000035,doduyvan@gmail.com
C036,Nguyen Thi Thao Van,0901000036,nguyenthithaovan@gmail.com
C037,Nguyen Tuan Vu,0901000037,nguyentuanvu@gmail.com
C_3603,Edited,0888,test@email.com
C_NEW_3603,New User,0123,new@mail.com
